iter	Passed	Remaining
0	3	3515
1	6	3053
2	8	2813
3	10	2624
4	12	2583
5	15	2556
6	17	2516
7	19	2471
8	22	2448
9	24	2425
10	26	2403
11	29	2413
12	31	2410
13	34	2413
14	36	2395
15	38	2394
16	41	2388
17	43	2394
18	46	2388
19	48	2372
20	50	2360
21	52	2355
22	55	2348
23	57	2350
24	60	2348
25	62	2343
26	64	2331
27	66	2321
28	69	2313
29	71	2303
30	73	2312
31	76	2304
32	78	2292
33	80	2280
34	82	2270
35	84	2267
36	86	2263
37	89	2260
38	91	2254
39	93	2250
40	96	2249
41	98	2246
42	101	2248
43	103	2244
44	105	2238
45	107	2233
46	110	2234
47	112	2232
48	115	2234
49	117	2232
50	119	2226
51	121	2222
52	124	2220
53	126	2215
54	128	2213
55	131	2208
56	133	2203
57	135	2198
58	137	2192
59	139	2186
60	141	2179
61	144	2180
62	146	2181
63	149	2181
64	151	2179
65	153	2176
66	155	2171
67	158	2170
68	160	2169
69	163	2167
70	165	2163
71	167	2160
72	169	2155
73	171	2151
74	174	2151
75	176	2148
76	179	2145
77	181	2142
78	183	2138
79	185	2134
80	187	2132
81	190	2129
82	192	2125
83	194	2123
84	196	2119
85	199	2116
86	201	2112
87	203	2111
88	206	2109
89	208	2107
90	210	2104
91	212	2100
92	215	2098
93	217	2096
94	219	2094
95	222	2091
96	224	2088
97	226	2087
98	228	2083
99	231	2079
100	233	2078
101	235	2075
102	237	2072
103	240	2069
104	242	2066
105	244	2062
106	246	2060
107	249	2058
108	251	2055
109	253	2052
110	255	2049
111	258	2047
112	260	2044
113	262	2042
114	264	2038
115	267	2037
116	269	2034
117	271	2031
118	273	2027
119	276	2026
120	278	2025
121	281	2024
122	283	2023
123	285	2020
124	288	2018
125	290	2016
126	293	2015
127	295	2014
128	298	2013
129	300	2010
130	302	2007
131	304	2004
132	307	2003
133	309	2000
134	311	1997
135	314	1995
136	316	1992
137	318	1989
138	320	1987
139	323	1986
140	325	1984
141	327	1980
142	330	1977
143	332	1974
144	334	1971
145	336	1969
146	339	1968
147	341	1965
148	343	1962
149	345	1960
150	348	1957
151	350	1954
152	352	1954
153	355	1951
154	357	1949
155	359	1946
156	361	1942
157	363	1939
158	366	1937
159	368	1937
160	371	1934
161	373	1932
162	375	1929
163	377	1926
164	380	1923
165	382	1922
166	385	1922
167	387	1920
168	389	1913
169	391	1910
170	393	1907
171	396	1906
172	398	1906
173	401	1905
174	403	1903
175	406	1901
176	408	1899
177	411	1898
178	413	1897
179	415	1894
180	418	1892
181	420	1889
182	422	1886
183	424	1883
184	427	1882
185	429	1880
186	432	1878
187	434	1875
188	436	1873
189	438	1871
190	441	1869
191	443	1867
192	446	1865
193	448	1862
194	450	1861
195	453	1858
196	455	1858
197	458	1855
198	460	1853
199	462	1851
200	465	1849
201	467	1847
202	469	1844
203	472	1843
204	474	1841
205	477	1839
206	479	1837
207	482	1835
208	484	1833
209	486	1828
210	488	1826
211	490	1825
212	493	1823
213	494	1817
214	497	1814
215	498	1809
216	500	1807
217	503	1805
218	505	1802
219	507	1800
220	510	1798
221	512	1796
222	515	1794
223	517	1793
224	520	1791
225	522	1789
226	524	1786
227	527	1784
228	529	1781
229	532	1782
230	535	1781
231	537	1779
232	539	1777
233	542	1775
234	544	1772
235	547	1771
236	549	1770
237	552	1768
238	554	1766
239	557	1765
240	559	1762
241	562	1761
242	564	1759
243	567	1757
244	569	1755
245	571	1752
246	574	1750
247	576	1748
248	578	1746
249	581	1743
250	583	1741
251	585	1738
252	587	1735
253	590	1734
254	592	1731
255	594	1727
256	596	1725
257	599	1722
258	600	1717
259	601	1713
260	604	1711
261	606	1709
262	608	1706
263	611	1704
264	613	1702
265	615	1699
266	618	1696
267	620	1695
268	623	1693
269	625	1691
270	628	1689
271	630	1687
272	632	1685
273	635	1684
274	638	1682
275	640	1680
276	642	1677
277	645	1675
278	647	1672
279	649	1670
280	652	1669
281	654	1667
282	657	1665
283	659	1662
284	661	1659
285	663	1657
286	666	1655
287	668	1653
288	671	1651
289	673	1648
290	675	1646
291	677	1643
292	680	1641
293	682	1639
294	684	1636
295	687	1634
296	689	1631
297	691	1628
298	693	1626
299	696	1624
300	698	1622
301	700	1619
302	703	1617
303	705	1615
304	707	1612
305	710	1610
306	712	1608
307	714	1605
308	716	1603
309	719	1600
310	721	1597
311	723	1595
312	726	1593
313	728	1591
314	730	1588
315	732	1585
316	734	1583
317	737	1580
318	739	1578
319	741	1576
320	744	1573
321	746	1571
322	748	1568
323	750	1566
324	752	1563
325	755	1561
326	757	1559
327	759	1557
328	762	1554
329	764	1551
330	766	1549
331	769	1547
332	771	1545
333	774	1544
334	776	1541
335	779	1540
336	781	1537
337	783	1535
338	786	1533
339	788	1530
340	790	1528
341	793	1526
342	795	1523
343	798	1521
344	800	1520
345	802	1516
346	804	1514
347	807	1512
348	809	1510
349	811	1507
350	814	1505
351	816	1503
352	818	1501
353	821	1498
354	823	1495
355	825	1493
356	827	1491
357	830	1488
358	832	1486
359	834	1483
360	836	1481
361	839	1478
362	841	1476
363	844	1474
364	846	1472
365	848	1470
366	851	1468
367	853	1465
368	855	1463
369	858	1460
370	860	1458
371	862	1456
372	865	1454
373	867	1451
374	869	1449
375	871	1446
376	875	1446
377	877	1444
378	880	1442
379	882	1440
380	885	1438
381	887	1435
382	890	1434
383	892	1432
384	895	1429
385	897	1427
386	899	1425
387	901	1422
388	904	1420
389	907	1418
390	909	1416
391	911	1414
392	914	1411
393	916	1409
394	918	1407
395	921	1405
396	923	1403
397	926	1401
398	928	1398
399	930	1396
400	933	1393
401	935	1391
402	937	1389
403	940	1386
404	942	1384
405	944	1381
406	946	1378
407	948	1376
408	951	1374
409	953	1371
410	955	1369
411	957	1366
412	959	1364
413	962	1361
414	964	1359
415	966	1357
416	969	1355
417	971	1352
418	973	1350
419	975	1347
420	978	1345
421	980	1343
422	982	1340
423	985	1338
424	987	1335
425	989	1333
426	991	1330
427	994	1328
428	996	1326
429	998	1323
430	1000	1320
431	1002	1318
432	1004	1315
433	1007	1313
434	1009	1311
435	1012	1309
436	1014	1306
437	1016	1304
438	1018	1302
439	1021	1299
440	1023	1297
441	1025	1295
442	1028	1292
443	1030	1290
444	1032	1287
445	1034	1285
446	1036	1282
447	1038	1279
448	1040	1276
449	1042	1274
450	1045	1272
451	1047	1270
452	1050	1268
453	1053	1266
454	1055	1264
455	1057	1262
456	1060	1259
457	1062	1257
458	1065	1255
459	1067	1253
460	1070	1251
461	1073	1249
462	1075	1247
463	1078	1245
464	1080	1243
465	1083	1241
466	1085	1238
467	1087	1236
468	1090	1234
469	1092	1232
470	1095	1230
471	1098	1228
472	1100	1226
473	1102	1223
474	1105	1221
475	1107	1219
476	1109	1216
477	1112	1215
478	1115	1212
479	1117	1210
480	1119	1208
481	1122	1206
482	1124	1203
483	1127	1201
484	1129	1199
485	1132	1197
486	1134	1195
487	1137	1193
488	1139	1191
489	1142	1189
490	1145	1187
491	1147	1184
492	1149	1182
493	1151	1179
494	1154	1177
495	1156	1175
496	1159	1173
497	1161	1170
498	1164	1168
499	1166	1166
500	1168	1163
501	1171	1161
502	1173	1159
503	1175	1157
504	1177	1154
505	1180	1152
506	1182	1149
507	1184	1147
508	1187	1145
509	1189	1143
510	1192	1141
511	1194	1138
512	1197	1136
513	1199	1134
514	1202	1132
515	1204	1129
516	1207	1127
517	1209	1125
518	1212	1123
519	1214	1121
520	1217	1119
521	1220	1117
522	1222	1115
523	1224	1112
524	1227	1110
525	1229	1107
526	1231	1105
527	1234	1103
528	1236	1100
529	1238	1098
530	1240	1095
531	1243	1093
532	1245	1091
533	1247	1088
534	1250	1086
535	1252	1084
536	1254	1081
537	1257	1079
538	1259	1077
539	1261	1074
540	1264	1072
541	1266	1070
542	1268	1068
543	1271	1065
544	1273	1063
545	1275	1060
546	1278	1058
547	1280	1056
548	1282	1053
549	1285	1051
550	1287	1049
551	1289	1046
552	1292	1044
553	1294	1041
554	1296	1039
555	1298	1036
556	1300	1034
557	1302	1032
558	1304	1029
559	1307	1027
560	1309	1025
561	1312	1022
562	1314	1020
563	1316	1017
564	1318	1015
565	1321	1013
566	1323	1010
567	1325	1008
568	1327	1005
569	1329	1003
570	1331	1000
571	1333	998
572	1336	995
573	1338	993
574	1341	991
575	1343	988
576	1345	986
577	1347	983
578	1350	981
579	1352	979
580	1354	976
581	1356	974
582	1359	972
583	1361	969
584	1363	967
585	1365	964
586	1367	962
587	1370	959
588	1372	957
589	1374	955
590	1376	952
591	1379	950
592	1381	948
593	1384	946
594	1386	943
595	1388	941
596	1390	938
597	1392	936
598	1395	933
599	1397	931
600	1400	929
601	1402	927
602	1404	924
603	1406	922
604	1409	920
605	1411	917
606	1413	915
607	1416	913
608	1418	910
609	1420	908
610	1423	906
611	1425	903
612	1427	901
613	1430	899
614	1432	896
615	1434	894
